r.1	n.1	r.2	n.2	r.3	n.3	t.1	t.2	t.3	n_arms	studyID
1472	20251	652	10396	723	10374	1	3	4	3	1
9	130	6	123	NA	NA	1	2	NA	2	2
5	63	2	59	NA	NA	1	2	NA	2	3
3	65	3	64	NA	NA	1	2	NA	2	4
887	10396	929	10372	NA	NA	1	2	NA	2	5
1455	13780	1418	13746	NA	NA	1	2	NA	2	6
7	85	4	86	NA	NA	1	2	NA	2	7
12	159	7	157	NA	NA	1	2	NA	2	8
10	135	5	135	NA	NA	1	2	NA	2	9
4	107	6	109	NA	NA	1	4	NA	2	10
285	3004	270	3006	NA	NA	1	5	NA	2	11
522	8488	523	8461	NA	NA	3	6	NA	2	34
356	4921	757	10138	NA	NA	3	5	NA	2	35
13	155	7	169	NA	NA	3	5	NA	2	36
